representation,family_id,subset,n,mae,signed_error,delta_mae_vs_full,delta_signed_vs_full
ablang1,FULL35,HIGH,7,1.8098081305367608,-1.8089768992832729,0.0,0.0
ablang1,FULL35,nonHIGH,155,0.3260393469041394,-0.04765387238533266,0.0,0.0
ablang1,ARO_EXPOSED_AMOUNT,HIGH,7,1.6929771684919077,-1.6677610299246646,-0.1168309620448531,0.1412158693586083
ablang1,ARO_EXPOSED_AMOUNT,nonHIGH,155,0.327344659916047,-0.014073751929498357,0.0013053130119076162,0.033580120455834306
ablang1,ARO_CDR_LOCALIZATION,HIGH,7,1.8833339407784593,-1.851428349086216,0.07352581024169846,-0.04245144980294313
ablang1,ARO_CDR_LOCALIZATION,nonHIGH,155,0.3261503914617722,-0.07963950968096328,0.00011104455763283338,-0.03198563729563062
ablang1,ARO_PATCH_TOPOLOGY,HIGH,7,1.8864317746843604,-1.7762691399710513,0.07662364414759959,0.032707759312221585
ablang1,ARO_PATCH_TOPOLOGY,nonHIGH,155,0.33487409569524945,0.028961710972939824,0.00883474879111007,0.07661558335827248
ablang1,ARO_SEQUENCE_COMPOSITION,HIGH,7,1.8921722858973908,-1.8921722858973908,0.08236415536063002,-0.08319538661411796
ablang1,ARO_SEQUENCE_COMPOSITION,nonHIGH,155,0.35296476937570875,-0.0332252808109407,0.02692542247156937,0.014428591574391962
ablang1,HYDRO_GLOBAL_FIELD,HIGH,7,1.8490859974452423,-1.8342972793579102,0.03927786690848145,-0.025320380074637328
ablang1,HYDRO_GLOBAL_FIELD,nonHIGH,155,0.3271583118069556,-0.053020880717615855,0.0011189649028162107,-0.0053670083322831935
ablang1,HYDRO_LOCAL_HIGH_INTENSITY,HIGH,7,2.0728416617257253,-2.0728416617257253,0.26303353118896444,-0.2638647624424524
ablang1,HYDRO_LOCAL_HIGH_INTENSITY,nonHIGH,155,0.33743712512600793,-0.001648970376291539,0.011397778221868549,0.04600490200904112
ablang1,HYDRO_CDR_FIELD,HIGH,7,2.011450675964356,-2.011450675964356,0.2016425454275952,-0.20247377668108313
ablang1,HYDRO_CDR_FIELD,nonHIGH,155,0.3354212928525864,-0.021005555232878594,0.00938194594844699,0.026648317152454068
ablang1,HYDRO_SURFACE_CONSTRUCTION_QC,HIGH,7,2.067702419825962,-2.067702419825962,0.25789428928920133,-0.25872552054268927
ablang1,HYDRO_SURFACE_CONSTRUCTION_QC,nonHIGH,155,0.3484300847699566,-0.002331420947659329,0.022390737865817245,0.045322451437673335
ablingua,FULL35,HIGH,7,1.937439753941127,-1.892990947178432,0.0,0.0
ablingua,FULL35,nonHIGH,155,0.33382877655029286,-0.024506398896248102,0.0,0.0
ablingua,ARO_EXPOSED_AMOUNT,HIGH,7,1.9157304393223356,-1.9157304393223356,-0.021709314618791442,-0.022739492143903473
ablingua,ARO_EXPOSED_AMOUNT,nonHIGH,155,0.32901158929640245,-0.034450725235477535,-0.004817187253890409,-0.009944326339229433
ablingua,ARO_CDR_LOCALIZATION,HIGH,7,1.8417130050659174,-1.7370380848475862,-0.0957267488752096,0.15595286233084593
ablingua,ARO_CDR_LOCALIZATION,nonHIGH,155,0.33028029051749935,-0.032270811560846165,-0.0035484860327935075,-0.007764412664598062
ablingua,ARO_PATCH_TOPOLOGY,HIGH,7,1.8418940396990087,-1.8257015675136015,-0.09554571424211833,0.06728937966483062
ablingua,ARO_PATCH_TOPOLOGY,nonHIGH,155,0.3375682010773689,-0.0034232008411038237,0.0037394245270760407,0.02108319805514428
ablingua,ARO_SEQUENCE_COMPOSITION,HIGH,7,1.7906102218627935,-1.7906102218627935,-0.1468295320783335,0.10238072531563858
ablingua,ARO_SEQUENCE_COMPOSITION,nonHIGH,155,0.33745517474758996,0.0035118240356445817,0.0036263981972970982,0.028018222931892683
ablingua,HYDRO_GLOBAL_FIELD,HIGH,7,1.9949066881452284,-1.9949066881452284,0.05746693420410143,-0.10191574096679634
ablingua,HYDRO_GLOBAL_FIELD,nonHIGH,155,0.3328780459988501,-0.022635043777957997,-0.0009507305514427355,0.001871355118290105
ablingua,HYDRO_LOCAL_HIGH_INTENSITY,HIGH,7,1.8715999592372352,-1.7746603186471126,-0.06583979470389179,0.11833062853131948
ablingua,HYDRO_LOCAL_HIGH_INTENSITY,nonHIGH,155,0.3465100057786512,-0.006905791793331016,0.012681229228358348,0.017600607102917085
ablingua,HYDRO_CDR_FIELD,HIGH,7,1.980022120884487,-1.980022120884487,0.04258236694336004,-0.08703117370605495
ablingua,HYDRO_CDR_FIELD,nonHIGH,155,0.32419860761088726,-0.04045411367108744,-0.009630168939405603,-0.01594771477483934
ablingua,HYDRO_SURFACE_CONSTRUCTION_QC,HIGH,7,1.830621772766113,-1.7677045996529712,-0.10681798117501407,0.12528634752546086
ablingua,HYDRO_SURFACE_CONSTRUCTION_QC,nonHIGH,155,0.33138932470506227,-0.01691555249614083,-0.002439451845230589,0.007590846400107272
